route	page	station	platform	usable length [m]	notes
AR	0158	Canonbury	4 (Eastbound) NLL	124	
AR	0159	Cantley	1 (Up)	165	(118m in operational use)
AR	0159	Cantley	2 (Down)	159	(116m in operational use)
AR	0159	Chadwell Heath	1 (Up Main)	211	
AR	0159	Chadwell Heath	2 (Down Main)	213	
AR	0159	Chadwell Heath	3 (Up Electric)	214	
AR	0159	Chadwell Heath	4 (Down Electric)	213	
AR	0159	Chafford Hundred	Single	242	
AR	0159	Chalkwell	1 (Up)	248	
AR	0159	Chalkwell	2 (Down)	248	
AR	0159	Chappel & Wakes Colne	Single	107	TAWS fitted 3-car Class 755 units only
AR	0159	Chelmsford	1 (Up)	247	
AR	0159	Chelmsford	2 (Down)	248	
AR	0159	Cheshunt	1 (Up)	245	
AR	0159	Cheshunt	2 (Down)	257.7	
AR	0159	Cheshunt	3 (Bay)	168.6	
AR	0159	Chingford	1	172	
AR	0159	Chingford	2	197.2	
AR	0159	Chingford	3	164.9	
AR	0159	Clacton-on-Sea	1	213	
AR	0159	Clacton-on-Sea	2	259	
AR	0159	Clacton-on-Sea	3	197	
AR	0159	Clacton-on-Sea	4	245	
AR	0159	Clapton	1 (Up)	182.2	
AR	0159	Clapton	2 (Down)	189.5	
AR	0159	Colchester	1	251	
AR	0159	Colchester	2	260	
AR	0159	Colchester	3	248	
AR	0159	Colchester	4	318	(256m in operational use)
AR	0159	Colchester	5	220	
AR	0159	Colchester	6	223	
AR	0159	Colchester Town	Single	260	(250m in operational use)
AR	0159	Cressing	Single	178	10-car 720 permitted with ASDO operation
AR	0159	Cromer	1	139	
AR	0159	Cromer	2	139	
AR	0159	Crouch Hill	1 (Up)	88.2	
AR	0159	Crouch Hill	2 (Down)	88.3	
AR	0159	Dagenham Dock	1 (Up)	247	
AR	0159	Dagenham Dock	2 (Down)	243	
AR	0159	Dalston Kingsland	1 (Westbound)	107	
AR	0159	Dalston Kingsland	2 (Eastbound)	128	
AR	0159	Darsham	1 (Up)	81	
AR	0159	Darsham	2 (Down)	98	
AR	0159	Derby Road	1 (Up)	137	(80m in operational use)
AR	0159	Derby Road	2 (Down)	137	(74m in operational use)
AR	0159	Diss	1 (Up)	250	
AR	0159	Diss	2 (Down)	250	
AR	0159	Dovercourt	Single	166	
AR	0159	Downham Market	1 (Up)	183	
AR	0159	Downham Market	2 (Down)	181	
AR	0159	Dullingham	1 (Down)	82	
AR	0159	Dullingham	2 (Up)	86	
AR	0160	East Tilbury	1 (Up)	247	
AR	0160	East Tilbury	2 (Down)	245	
AR	0160	Eccles Road	1 (Down)	77	
AR	0160	Eccles Road	2 (Up)	77	
AR	0160	Edmonton Green	1 (Up)	188.1	10-car 720 permitted with ASDO operation
AR	0160	Edmonton Green	2 (Down)	188.7	10-car 720 permitted with ASDO operation
AR	0160	Elmswell	1 (Up)	77	
AR	0160	Elmswell	2 (Down)	54	4-car 755 permitted with ASDO operation
AR	0160	Elsenham	1 (Up)	165	10-car 720 permitted with ASDO operation
AR	0160	Elsenham	2 (Down)	167	10-car 720 permitted with ASDO operation
AR	0160	Ely	1 (Down)	256	10-car 720 NOT permitted into this platform
AR	0160	Ely	2 (Up)	256	
AR	0160	Ely	3 (Loop)	256	
AR	0160	Emerson Park	Single	87.5	
AR	0160	Enfield Lock	1 (Up)	167	10-car 720 permitted with ASDO operation
AR	0160	Enfield Lock	2 (Down)	165	10-car 720 permitted with ASDO operation
AR	0160	Enfield Town	1	182.5	
AR	0160	Enfield Town	2	182.5	
AR	0160	Enfield Town	3	176.2	
AR	0160	Felixstowe	Single	127	(90m in operational use)
AR	0160	Fenchurch Street	1	250	
AR	0160	Fenchurch Street	2	250	
AR	0160	Fenchurch Street	3	250	
AR	0160	Fenchurch Street	4	250	
AR	0160	Finchley Rd & Frognal	1 (Westbound)	106	
AR	0160	Finchley Rd & Frognal	2 (Eastbound)	128	
AR	0160	Forest Gate	1 (Up Electric)	173	9-car 345 permitted with ASDO operation
AR	0160	Forest Gate	2 (Down Electric)	178	The Driver MUST gain Signallers authority under S5 of RSSB Rule Book for 9-car reversals at these locations
AR	0160	Forest Gate	3 (Up Main)	190	The Driver MUST gain Signallers authority under S5 of RSSB Rule Book for 9-car reversals at these locations
AR	0160	Forest Gate	4 (Down Main)	198	The Driver MUST gain Signallers authority under S5 of RSSB Rule Book for 9-car reversals at these locations
AR	0160	Foxton	1 (Up)	105	Trains longer than 5 cars can call providing they are equipped with SDO (Selective Door Opening) equipment
AR	0160	Foxton	2 (Down)	174	
AR	0160	Frinton-on-Sea	Single	179	
AR	0160	Gidea Park	1 (Up Main)	211	
AR	0160	Gidea Park	2 (Down Main)	211	
AR	0160	Gidea Park	3 (Up Electric)	227	
AR	0160	Gidea Park	4 (Down Electric)	228	
AR	0160	Goodmayes	1 (Up Main)	212	
AR	0160	Goodmayes	2 (Down Main)	212	
AR	0160	Goodmayes	3 (Up Electric)	212	
AR	0160	Goodmayes	4 (Down Electric)	212	
AR	0161	Gospel Oak	1 (Westbound)	106	
AR	0161	Gospel Oak	2 (Eastbound)	113	
AR	0161	Gospel Oak	3 Bay	80.2	
AR	0161	Grays	1 (Up)	247	
AR	0161	Grays	2 (Down)	253	
AR	0161	Grays	3 (Third Line)	173	
AR	0161	Great Bentley	1 (Up)	176	10-car 720 permitted with ASDO operation
AR	0161	Great Bentley	2 (Down)	176	10-car 720 permitted with ASDO operation
AR	0161	Great Chesterford	1 (Up)	167	10-car 720 permitted with ASDO operation
AR	0161	Great Chesterford	2 (Down)	167	10-car 720 permitted with ASDO operation
AR	0161	Great Yarmouth	2	282	
AR	0161	Great Yarmouth	3	282	(180m in operational use)
AR	0161	Great Yarmouth	4	268	(174m in operational use)
AR	0161	Gunnersbury	1 (Westbound)	118	
AR	0161	Gunnersbury	2 (Eastbound)	130	
AR	0161	Gunton	Single	60	4-car 755 permitted with ASDO operation
AR	0161	Hackney Central	1 (Westbound)	126	
AR	0161	Hackney Central	2 (Eastbound)	126	
AR	0161	Hackney Downs	1 (Up)	209	10-car 720 permitted with ASDO operation
AR	0161	Hackney Downs	2 (Down)	180	8-car 710 permitted with ASDO operation 10-car 720 permitted with ASDO operation
AR	0161	Hackney Downs	3 (Up)	180.2	10-car 720 permitted with ASDO operation
AR	0161	Hackney Downs	4 (Down)	186.4	8-car 710 permitted with ASDO operation 10-car 720 permitted with ASDO operation
AR	0161	Hackney Wick	1 (Westbound)	126	
AR	0161	Hackney Wick	2 (Eastbound)	126	
AR	0161	Haddiscoe	1 (Up)	46	3/4-car 755 permitted with ASDO operation
AR	0161	Haddiscoe	2 (Down)	182	(85m in operational use)
AR	0161	Halesworth	1 (Up)	152	(66m in operational use) 4-car 755 permitted with ASDO operation
AR	0161	Halesworth	2 (Down)	96	(66m in operational use) 4-car 755 permitted with ASDO operation
AR	0161	Hampstead Heath	1 (Westbound)	109	
AR	0161	Hampstead Heath	2 (Eastbound)	102	
AR	0161	Harling Road	1 (Down)	90	
AR	0161	Harling Road	2 (Up)	127	
AR	0161	Harlow Mill	1 (Up)	168	10-car 720 permitted with ASDO operation
AR	0161	Harlow Mill	2 (Down)	168	10-car 720 permitted with ASDO operation
AR	0161	Harlow Town	1	251	
AR	0161	Harlow Town	2	251	
AR	0161	Harlow Town	3	251	
AR	0161	Harlow Town	4	251	
AR	0161	Harold Wood	1 (Up Main)	209	
AR	0161	Harold Wood	2 (Down Main)	211	
AR	0161	Harold Wood	3 (Up Electric)	209	
AR	0161	Harold Wood	4 (Down Electric)	211	
AR	0161	Harringay Green Lanes	1 (Up)	90.7	
AR	0161	Harringay Green Lanes	2 (Down)	90.6	
AR	0161	Harwich International	1	262	
AR	0161	Harwich International	2	264	
AR	0161	Harwich International	3 (Bay)	259	
AR	0161	Harwich Town	Single	166.2	(146.2m in operational use for Class 720)
AR	0162	Hatfield Peverel	1 (Up)	250	
AR	0162	Hatfield Peverel	2 (Down)	250	
AR	0162	Hertford East	1	249	
AR	0162	Hertford East	2	249	
AR	0162	Highams Park	1 (Up)	187.3	
AR	0162	Highams Park	2 (Down)	186.3	
AR	0162	Highbury & Islington NLL	7 (Westbound)	111	
AR	0162	Highbury & Islington NLL	8 (Eastbound)	113	
AR	0162	Hockley	1 (Up)	250	
AR	0162	Hockley	2 (Down)	250	
AR	0162	Homerton	1 (Westbound)	106	
AR	0162	Homerton	2 (Eastbound)	106	
AR	0162	Hoveton & Wroxham	1 (Up)	110	
AR	0162	Hoveton & Wroxham	2 (Down)	114	
AR	0162	Hythe	1 Up	250	
AR	0162	Hythe	2 Down	272	
AR	0162	Ilford	1 (Up Main)	226	
AR	0162	Ilford	2 (Down Main)	221	
AR	0162	Ilford	3 (Up Electric)	233	
AR	0162	Ilford	4 (Down Electric)	227	
AR	0162	Ingatestone	1 (Up)	248	
AR	0162	Ingatestone	2 (Down)	250	
AR	0162	Ipswich	1 (Bay)	135	Bi-mode units only able to use Country End as per Local Instruction.
AR	0162	Ipswich	2 (Up)	245	
AR	0162	Ipswich	3 (Down)	255	
AR	0162	Ipswich	4 (Down Loop)	254	
AR	0162	Kelvedon	1 (Up)	249	
AR	0162	Kelvedon	2 (Down)	257	
AR	0162	Kennett	1 (Down)	69	4-car 755 permitted with ASDO operation
AR	0162	Kennett	2 (Up)	62	4-car 755 permitted with ASDO operation
AR	0162	Kensal Rise	1 (Westbound)	106	
AR	0162	Kensal Rise	2 (Eastbound)	122	
AR	0162	Kentish Town West	1 (Westbound)	109	
AR	0162	Kentish Town West	2 (Eastbound)	109	
AR	0162	Kew Gardens	1 (Eastbound)	112	
AR	0162	Kew Gardens	2 (Westbound)	158	
AR	0162	King’s Lynn	1	227	
AR	0162	King’s Lynn	2	183	
AR	0162	Kirby Cross	1 (Up)	168	
AR	0162	Kirby Cross	2 (Down)	168	
AR	0162	Laindon	1	249	
AR	0162	Laindon	2	249	
AR	0162	Laindon	3	249	
AR	0162	Lakenheath	1 (Down)	149	
AR	0162	Lakenheath	2 (Up)	119	
AR	0162	Lea Bridge	1 (Up)	172	10-car 720 permitted with ASDO operation
AR	0162	Lea Bridge	2 (Down)	176	10-car 720 permitted with ASDO operation
AR	0163	Leigh-on-Sea	1	247	
AR	0163	Leigh-on-Sea	2	248	
AR	0163	Leigh-on-Sea	3	248	
AR	0163	Leyton Midland Road	1 (Up)	92.7	
AR	0163	Leyton Midland Road	2 (Down)	84.5	
AR	0163	Leytonstone High Road	1 (Up)	80.5	
AR	0163	Leytonstone High Road	2 (Down)	82.9	
AR	0163	Limehouse	1 (Up)	250	
AR	0163	Limehouse	2 (Down)	250	
AR	0163	Lingwood	Single	92	
AR	0163	Littleport	1 (Up)	86	Trains longer than 4 cars can call providing they are equipped with SDO (Selective Door Opening) equipment
AR	0163	Littleport	2 (Down)	167	
AR	0163	Liverpool Street	1	242	
AR	0163	Liverpool Street	2	252	
AR	0163	Liverpool Street	3	252	
AR	0163	Liverpool Street	4	252	
AR	0163	Liverpool Street	5	252	
AR	0163	Liverpool Street	6	252	
AR	0163	Liverpool Street	7	252	
AR	0163	Liverpool Street	8	252	
AR	0163	Liverpool Street	9	288	
AR	0163	Liverpool Street	10	248	
AR	0163	Liverpool Street	11	261	
AR	0163	Liverpool Street	12	246	
AR	0163	Liverpool Street	13	256	
AR	0163	Liverpool Street	14	246	
AR	0163	Liverpool Street	15	246	
AR	0163	Liverpool Street	16	205	
AR	0163	Liverpool Street	17	205	
AR	0163	London Fields	1 (Up)	177.5	Suburban Line only
AR	0163	London Fields	2 (Down)	194.9	Suburban Line only
AR	0163	Lowestoft	2	214	(119m in operational use)
AR	0163	Lowestoft	3	229	(119m in operational use)
AR	0163	Lowestoft	4	229	(119m in operational use)
AR	0163	Manea	1 (Down)	42	3/4-car 755 permitted with ASDO operation
AR	0163	Manea	2 (Up)	49	3/4-car 755 permitted with ASDO operation
AR	0163	Manningtree	1 (Bay)	108	5-car 720 permitted with ASDO operation
AR	0163	Manningtree	2 (Up)	245	
AR	0163	Manningtree	3 (Down)	235	10-car 720 permitted with ASDO operation 12-car 745 permitted with ASDO operation
AR	0163	Manor Park	1 (Up Electric)	168	9-car 345 permitted with ASDO operation
AR	0163	Manor Park	2 (Down Electric)	185	9-car 345 permitted with ASDO operation
AR	0163	Manor Park	3 (Up Main)	194	9-car 345 permitted with ASDO operation
AR	0163	Manor Park	4 (Down Main)	163	The Driver MUST gain Signallers authority under S5 of RSSB Rule Book for 9-car reversals at these locations
AR	0163	March	1 (Down)	112	
AR	0163	March	2 (Up)	116	
AR	0163	Marks Tey	1 (Up)	235	10-car 720 permitted with ASDO operation
AR	0163	Marks Tey	2 (Down)	247	
AR	0164	Marks Tey	3 (Sudbury)	50	3-car 755 permitted with ASDO operation & TAWS equipment fitted
AR	0164	Maryland	1 (Up Electric)	168	9-car 345 permitted with ASDO operation
AR	0164	Maryland	2 (Down Electric)	169	The Driver MUST gain Signallers authority under S5 of RSSB Rule Book for 9-car reversals at these locations
AR	0164	Maryland	3 (Up Main)	168	The Driver MUST gain Signallers authority under S5 of RSSB Rule Book for 9-car reversals at these locations
AR	0164	Maryland	4 (Down Main)	167	The Driver MUST gain Signallers authority under S5 of RSSB Rule Book for 9-car reversals at these locations
AR	0164	Meldreth	1 (Up)	128	Trains longer than 6 cars can call providing they are equipped with SDO (Selective Door Opening) equipment
AR	0164	Meldreth	2 (Down)	128	Trains longer than 6 cars can call providing they are equipped with SDO (Selective Door Opening) equipment
AR	0164	Melton	Single	73	(56m in operational use) 4-car 755 permitted with ASDO operation
AR	0164	Meridian Water	2 (Lea Valley Reversible)	160	10-car 720 permitted with ASDO operation
AR	0164	Meridian Water	3 (Up)	172	10-car 720 permitted with ASDO operation
AR	0164	Meridian Water	4 (Down)	173	10-car 720 permitted with ASDO operation
AR	0164	Mistley	1 (Up)	91	5-car 720 permitted with ASDO operation
AR	0164	Mistley	2 (Down)	93	5-car 720 permitted with ASDO operation
AR	0164	Needham Market	1 (Down)	83	
AR	0164	Needham Market	2 (Up)	71	
AR	0164	Newmarket	Single	231	(81m in operational use)
AR	0164	Newport	1 (Up)	168	10-car 720 permitted with ASDO operation
AR	0164	Newport	2 (Down)	167	10-car 720 permitted with ASDO operation
AR	0164	Northumberland Park	2 (Lea Valley Reversible)	193	10-car 720 permitted with ASDO operation
AR	0164	Northumberland Park	3 (Up)	172	10-car 720 permitted with ASDO operation 12-car 745 permitted with ASDO operation
AR	0164	Northumberland Park	4 (Down)	173	10-car 720 permitted with ASDO operation 12-car 745 permitted with ASDO operation
AR	0164	North Fambridge	1 (Up)	165	10-car 720 permitted with ASDO operation
AR	0164	North Fambridge	2 (Down)	189	10-car 720 permitted with ASDO operation
AR	0164	North Walsham	1 (Up)	106	
AR	0164	North Walsham	2 (Down)	101	
AR	0164	Norwich	1	298	
AR	0164	Norwich	2	296	
AR	0164	Norwich	3	250	
AR	0164	Norwich	4	255	
AR	0164	Norwich	5	198	
AR	0164	Norwich	6	132	Bi-mode or DMU traction only
AR	0164	Ockendon	1 (Down)	248	
AR	0164	Ockendon	2 (Up)	248	
AR	0164	Oulton Broad North	1 (Up)	146	(102m in operational use)
AR	0164	Oulton Broad North	2 (Down)	149	(89m in operational use)
AR	0164	Oulton Broad South	Single	151	(92m in operational use)
AR	0165	Pitsea	1	250	
AR	0165	Pitsea	2	250	
AR	0165	Pitsea	3	251	
AR	0165	Pitsea	4	244	
AR	0165	Ponders End	1 (Up)	167	10-car 720 permitted with ASDO operation
AR	0165	Ponders End	2 (Down)	166	10-car 720 permitted with ASDO operation
AR	0165	Prittlewell	1 (Up)	247	
AR	0165	Prittlewell	2 (Down)	247	
AR	0165	Purfleet	1 (Up)	266	
AR	0165	Purfleet	2 (Down)	246	
AR	0165	Rainham	1 (Up)	247	
AR	0165	Rainham	2 (Down)	242	
AR	0165	Rayleigh	1 (Up)	249	
AR	0165	Rayleigh	2 (Down)	250	
AR	0165	Rectory Road	1 (Up)	186	
AR	0165	Rectory Road	2 (Down)	187	
AR	0165	Reedham	1 (Up)	175	(91m in operational use)
AR	0165	Reedham	2 (Down)	192	(83m in operational use)
AR	0165	Richmond	3	120	
AR	0165	Richmond	4	120	
AR	0165	Richmond	5	120	
AR	0165	Richmond	6	129	
AR	0165	Richmond	7	129	
AR	0165	Rochford	1 (Up)	249	
AR	0165	Rochford	2 (Down)	249	
AR	0165	Romford	1 (Bay)	85.6	
AR	0165	Romford	2 (Up Main)	211	10-car 720 permitted with ASDO operation
AR	0165	Romford	3 (Down Main)	211	10-car 720 permitted with ASDO operation
AR	0165	Romford	4 (Up Electric)	211	10-car 720 permitted with ASDO operation
AR	0165	Romford	5 (Down Electric)	211	10-car 720 permitted with ASDO operation
AR	0165	Roughton Road	Single	60	4-car 755 permitted with ASDO operation
AR	0165	Roydon	1 (Up)	172	10-car 720 permitted with ASDO operation
AR	0165	Roydon	2 (Down)	170	10-car 720 permitted with ASDO operation
AR	0165	Rye House	1 (Up)	186	10-car 720 permitted with ASDO operation
AR	0165	Rye House	2 (Down)	170	10-car 720 permitted with ASDO operation
AR	0165	St James Street	1 (Up)	188.9	
AR	0165	St James Street	2 (Down)	189.6	
AR	0165	St Margarets	1 (Up)	199	10-car 720 permitted with ASDO operation
AR	0165	St Margarets	2 (Down)	167	10-car 720 permitted with ASDO operation
AR	0165	Salhouse	1 (Up)	83	(75.3m in operational use)
AR	0165	Salhouse	2 (Down)	128.8	(81m in operational use)
AR	0165	Sawbridgeworth	1 (Up)	281	
AR	0165	Sawbridgeworth	2 (Down)	249	
AR	0166	Saxmundham	1 (Up)	113	
AR	0166	Saxmundham	2 (Down)	72	4-car 755 permitted with ASDO operation
AR	0166	Seven Kings	1 (Up Main)	180	9-car 345 permitted with ASDO operation 10-car 720 permitted with ASDO operation
AR	0166	Seven Kings	2 (Down Main)	180	9-car 345 permitted with ASDO operation 10-car 720 permitted with ASDO operation
AR	0166	Seven Kings	3 (Up Electric)	187	9-car 345 permitted with ASDO operation 10-car 720 permitted with ASDO operation
AR	0166	Seven Kings	4 (Down Electric)	187	9-car 345 permitted with ASDO operation 10-car 720 permitted with ASDO operation
AR	0166	Seven Sisters	1 (Up)	188.3	10-car 720 permitted with ASDO operation 12-car 745 permitted with ASDO operation
AR	0166	Seven Sisters	2 (Down)	185.1	10-car 720 permitted with ASDO operation 12-car 745 permitted with ASDO operation
AR	0166	Shelford	1 (Up)	180	10-car 720 permitted with ASDO operation
AR	0166	Shelford	2 (Down)	180	10-car 720 permitted with ASDO operation
AR	0166	Shenfield	1	249	
AR	0166	Shenfield	2	249	
AR	0166	Shenfield	3	255	
AR	0166	Shenfield	4	249	
AR	0166	Shenfield	5	245	
AR	0166	Shenfield	6	209	
AR	0166	Shepreth	1 (Up)	97	Trains longer than 4 cars can call providing they are equipped with SDO (Selective Door Opening) equipment
AR	0166	Shepreth	2 (Down)	171	
AR	0166	Sheringham	Single	80	
AR	0166	Shippea Hill	1 (Down)	147	(85m in operational use)
AR	0166	Shippea Hill	2 (Up)	132	(89m in operational use)
AR	0166	Shoeburyness	1	255	
AR	0166	Shoeburyness	2	264	
AR	0166	Shoeburyness	3	181	
AR	0166	Silver Street	2 (Down)	188.9	
AR	0166	Silver Street	1 (Up)	189.1	
AR	0166	Soham	Single	99	
AR	0166	Somerleyton	2 (Down)	148	
AR	0166	Somerleyton	1 (Up)	127	
AR	0166	South Acton	1 (Westbound)	116	
AR	0166	South Acton	2 (Eastbound)	106	
AR	0166	South Tottenham	1 (Up)	78.7	
AR	0166	South Tottenham	2 (Down)	72.5	
AR	0166	Southbury	1 (Up)	187.2	
AR	0166	Southbury	2 (Down)	187.5	
AR	0166	Southend Airport	1 (Up)	250	
AR	0166	Southend Airport	2 (Down)	250	
AR	0166	Southend Central	1	248	
AR	0166	Southend Central	2	251	
AR	0166	Southend Central	3	276	
AR	0166	Southend Central	4	248	
AR	0166	Southend East	1 (Up)	246	
AR	0166	Southend East	2 (Down)	246	
AR	0167	Southend Victoria	1	247.7	
AR	0167	Southend Victoria	2	254.8	
AR	0167	Southend Victoria	3	254.8	
AR	0167	Southend Victoria	4	249.5	
AR	0167	Southminster	Single	180	10-car 720 permitted with ASDO operation
AR	0167	South Woodham Ferrers	Single	264	
AR	0167	Spooner Row	1 (Down)	42	3/4-car 755 permitted with ASDO operation
AR	0167	Spooner Row	2 (Up)	48	3/4-car 755 permitted with ASDO operation
AR	0167	Stamford Hill	1(Up)	175.5	
AR	0167	Stamford Hill	2 (Down)	188.3	
AR	0167	Stanford-le-Hope	1 (Up)	257	
AR	0167	Stanford-le-Hope	2 (Down)	243	
AR	0167	Stansted Airport	1	332	
AR	0167	Stansted Airport	2	109	(97m in operational use)
AR	0167	Stansted Airport	3	291	
AR	0167	Stansted Mountfitchet	1 (Up)	255	
AR	0167	Stansted Mountfitchet	2 (Down)	255	
AR	0167	Stoke Newington	1 (Up)	164.1	8-car 710 permitted with ASDO operation
AR	0167	Stoke Newington	2 (Down)	161.3	8-car 710 permitted with ASDO operation
AR	0167	Stowmarket	1 (Up)	250	
AR	0167	Stowmarket	2 (Down)	250	
AR	0167	Stratford	1	133	NLL
AR	0167	Stratford	2	100	NLL
AR	0167	Stratford	5	253	Up Electric
AR	0167	Stratford	8	250	Down Electric
AR	0167	Stratford	9	256	Up Main
AR	0167	Stratford	10	249	Down Main
AR	0167	Stratford	10A	256	Avoiding Line
AR	0167	Stratford	11	307	
AR	0167	Stratford	12	182	Proposed relocation of S697 Signal to allow ASDO operation TBC
AR	0167	Sudbury	Single	52	3-car 755 permitted with ASDO operation & TAWS equipment fitted
AR	0167	Theobalds Grove	1 (Up)	189.7	
AR	0167	Theobalds Grove	2 (Down)	187.2	
AR	0167	Thetford	1 (Down)	150	
AR	0167	Thetford	2 (Up)	111	
AR	0167	Thorpe Bay	1 (Up)	249	
AR	0167	Thorpe Bay	2 (Down)	249	
AR	0167	Thorpe-le-Soken	1	248	
AR	0167	Thorpe-le-Soken	2	248	
AR	0167	Thurston	1 (Up)	87	
AR	0167	Thurston	2 (Down)	86	
AR	0167	Tilbury Town	1 (Up)	249	
AR	0167	Tilbury Town	2 (Down)	247	
AR	0167	Tottenham Hale	2 (Lea Valley Reversible)	180	10-car 720 permitted with ASDO operation
AR	0167	Tottenham Hale	3 (Up)	254	
AR	0167	Tottenham Hale	4 (Down)	250	
AR	0167	Trimley	Single	141	(74m in operational use)
AR	0167	Turkey Street	1 (Up)	189.4	
AR	0167	Turkey Street	2 (Down)	189.2	
AR	0168	Upminster	1 (Up)	247	
AR	0168	Upminster	1a (Ockendon Bay)	143	8-car multiple unit ECS reversal permitted
AR	0168	Upminster	2 (Down)	247	
AR	0168	Upminster	6 (Romford)	91.7	
AR	0168	Upper Holloway	1 (Up)	99.7	
AR	0168	Upper Holloway	2 (Down)	91.8	
AR	0168	Waltham Cross	1 (Up)	170	10-car 720 permitted with ASDO operation
AR	0168	Waltham Cross	2 (Down)	184	10-car 720 permitted with ASDO operation
AR	0168	Walthamstow Central	1 (Up)	187.4	
AR	0168	Walthamstow Central	2 (Down)	182.3	
AR	0168	Walthamstow Queens Road	1 (Up)	84.7	
